speed_mph,grade_pct,mass_kg,aw_active_kcal_min,n,theory_gross_kcal_min,theory_net_kcal_min,delta_vs_net,percent_error_vs_net,mechanical_W,metabolic_W_measured,metabolic_W_theory_net,efficiency_measured,efficiency_theory_net
3.0,5.0,80.29,6.220000000000001,5,7.542750913599999,6.137675913599999,0.08232408640000166,1.3412908657752052,52.798280261496004,434.0316,428.28702525100795,0.12164616645768649,0.12327779537694913
3.0,8.0,73.48,7.1,2,8.49943042432,7.21353042432,-0.11353042432000038,-1.5738538224950036,77.3120963231232,495.438,503.3601530090496,0.1560479743643467,0.1535920073548874
3.0,8.0,79.38,8.3,2,9.181883329919998,7.792733329919998,0.5072666700800026,6.509483240397376,83.5197905025792,579.1740000000001,543.7769317618174,0.1442050066173191,0.15359200735488746
3.0,8.0,80.29,7.7,5,9.28714301536,7.88206801536,-0.1820680153599996,-2.3099016020313288,84.47724841839361,537.306,550.0107061118208,0.15722372059570078,0.15359200735488743
3.0,8.0,89.36,8.649999999999999,2,10.336269770239998,8.772469770239997,-0.12246977023999861,-1.3960694473461615,94.0202630298624,603.5969999999999,612.1429405673471,0.15576661751112486,0.15359200735488746
4.0,0.0,73.48,3.8,2,5.227719904,3.941819904,-0.1418199040000001,-3.597828096004259,0.0,265.164,275.06019290112,0.0,0.0
4.0,0.0,79.38,4.0,2,5.647474224,4.258324224,-0.2583242239999999,-6.066335262685716,0.0,279.12,297.14586435072,0.0,0.0
4.0,0.0,89.36,4.85,2,6.357499328,4.793699328000001,0.056300671999999,1.1744723260206733,0.0,338.433,334.50433910784005,0.0,0.0
4.0,4.0,73.48,6.85,2,8.06583023488,6.77993023488,0.07006976511999952,1.0334879960787635,51.5413975487488,477.993,473.1035317899264,0.10782877060699382,0.10894316800753641
4.0,4.0,79.38,7.199999999999999,2,8.71346766528,7.32431766528,-0.12431766528000043,-1.6973276004850606,55.679860335052794,502.41599999999994,511.0908866832384,0.11082421804849527,0.10894316800753641
4.0,4.0,89.36,8.05,2,9.80896284416,8.24516284416,-0.19516284415999863,-2.3669980550867025,62.6801753532416,561.729,575.3474632654847,0.1115843678237043,0.10894316800753644
4.0,5.0,80.29,8.9,5,9.588642884800002,8.183567884800002,0.7164321151999982,8.754520342290862,70.397707015328,621.042,571.0493670013442,0.11335418057929736,0.12327779537694906
4.0,8.0,73.48,10.149999999999999,2,10.90394056576,9.61804056576,0.5319594342399991,5.53085039102208,103.0827950974976,708.2669999999999,671.1468706787327,0.14554228150894732,0.15359200735488743
4.0,8.0,79.38,9.350000000000001,2,11.77946110656,10.390311106559999,-1.0403111065599973,-10.012319129724512,111.35972067010559,652.4430000000001,725.0359090157567,0.17068114865222797,0.15359200735488743
4.0,8.0,89.36,11.850000000000001,2,13.260426360319999,11.696626360319998,0.1533736396800034,1.3112639059781626,125.3603507064832,826.8930000000001,816.1905874231295,0.15160407780266996,0.15359200735488743
